asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery
B08B3QSVM6,"Xiaomi Redmi 9 64GB, 4GB RAM, 6.53&quot; Full HD + AI Quad Camera, LTE Factory Unlocked Smartphone - International Version (Carbon Grey)",$148.44 ,,USD,4.6,5641,https://www.amazon.com/dp/B08B3QSVM6,https://m.media-amazon.com/images/I/51oT5k+XRrS._AC_SX444_SY639_FMwebp_QL65_.jpg,,$148.44 ,FALSE,FALSE,TRUE,FALSE,,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17 Only 3 left in stock - order soon."
B0B8BN5STX,"SAMSUNG Samsung Galaxy A53 5G (128GB, 6GB) 6.5&#x27;&#x27; 120Hz Full HD+, IP67 Water Resistant, 64MP 4K Quad Camera, US 5G/Global 4G Volte (GSM Unlocked for AT&amp;T, T-Mobile, Global) A536U (Black) (Renewed)",$155.69 ,$184.82 ,USD,3.9,55,https://www.amazon.com/dp/B0B8BN5STX,https://m.media-amazon.com/images/I/61uAwNHHgaL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$155.69 ,FALSE,FALSE,FALSE,TRUE,50+ bought in past month,"FREE delivery Fri, Mar 22 Or fastest delivery Mar 19 - 21 Only 1 left in stock - order soon."
B0C1ZXHSRW,"Samsung Galaxy A14 (SM-A145F/DS) Dual SIM,128GB + 4GB, Factory Unlocked GSM, International Version (Ring Grip Case Bundle) - No Warranty - (Light Green)",$155.00 ,,USD,4.2,76,https://www.amazon.com/dp/B0C1ZXHSRW,https://m.media-amazon.com/images/I/713usF95E-L._AC_SX444_SY639_FMwebp_QL65_.jpg,,$155.00 ,FALSE,FALSE,TRUE,FALSE,50+ bought in past month,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17"
B0CNWNMQTT,SAMSUNG Galaxy S9 | SM-G960U | 64GB | 3000 mAh | 12MP Camera | Fully Unlocked (Renewed) (Midnight Black),$130.99 ,,USD,4,44,https://www.amazon.com/dp/B0CNWNMQTT,https://m.media-amazon.com/images/I/51FQlc8v9qS._AC_SX444_SY639_FMwebp_QL65_.jpg,,$130.99 ,FALSE,FALSE,FALSE,TRUE,300+ bought in past month,"FREE delivery Wed, Mar 20 Only 10 left in stock - order soon."
B0C2GVCRCW,"SAMSUNG Galaxy A54 5G + 4G LTE Latin American Version (256GB + 8GB) Unlocked Worldwide (T-Mobile/Mint/Metro USA Market) NOT for Verizon, Sprint, Boost 6.4&quot; 120Hz 50MP Triple Cam - (Violet)",$344.50 ,,USD,4,414,https://www.amazon.com/dp/B0C2GVCRCW,https://m.media-amazon.com/images/I/51ppKo4cp0L._AC_SX444_SY639_FMwebp_QL65_.jpg,,$344.50 ,FALSE,FALSE,TRUE,FALSE,50+ bought in past month,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17 Only 13 left in stock - order soon."
B0C4BF6WJV,SAMSUNG Galaxy A14 4G LTE (128GB + 4GB) Unlocked Worldwide (Only T-Mobile/Mint/Metro USA Market) 6.6&quot; 50MP Triple Camera + (15W Wall Charger) (Silver (SM-A145M/DS)) (Renewed),$124.00 ,$165.00 ,USD,3.5,26,https://www.amazon.com/dp/B0C4BF6WJV,https://m.media-amazon.com/images/I/717yeZFskGL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$124.00 ,FALSE,FALSE,FALSE,TRUE,50+ bought in past month,FREE delivery
B0C63HBWD2,"Samsung Galaxy A54 5G Dual SIM 256GB ROM 8GB RAM 6.4&quot; 120Hz AMOLED, Octa-Core, 50MP Camera (GSM Unlocked for T-Mobile, Metro, Global) International Model A546E/DS Mobile Cell Phone (Graphite)",$354.50 ,,USD,4.1,57,https://www.amazon.com/dp/B0C63HBWD2,https://m.media-amazon.com/images/I/51lZczTOFEL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$354.50 ,FALSE,FALSE,TRUE,FALSE,,"FREE delivery Wed, Mar 20 Or fastest delivery Sun, Mar 17 Only 13 left in stock - order soon."
B0CRWHQFDB,"SAMSUNG Galaxy A15 5G Dual SIM (128GB, 2024) 6.5&quot; 90Hz AMOLED, 50MP Camera, 4G Volte (Fully Unlocked International Model for AT&amp;T, T-Mobile, Verizon, Global) A156M/DSN (w/ 256GB SD Card, Blue Black)",$199.00 ,$218.26 ,USD,4.3,20,https://www.amazon.com/dp/B0CRWHQFDB,https://m.media-amazon.com/images/I/51mRnMaCDpL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$199.00 ,FALSE,FALSE,FALSE,FALSE,400+ bought in past month,FREE deliveryOnly 2 left in stock - order soon.
B07ZQRL9XY,"Apple iPhone 11 Pro, US Version, 256GB, Space Gray - Unlocked (Renewed)",$308.70 ,$334.00 ,USD,4.2,20297,https://www.amazon.com/dp/B07ZQRL9XY,https://m.media-amazon.com/images/I/81LmL94PUvS._AC_SX444_SY639_FMwebp_QL65_.jpg,,$308.70 ,FALSE,FALSE,FALSE,TRUE,500+ bought in past month,"FREE delivery Wed, Mar 20 Only 8 left in stock - order soon."
B09GKXZCWY,"SAMSUNG Galaxy Z Flip 3 5G Factory Unlocked Android Cell Phone US Version Smartphone Flex Mode Intuitive Camera Compact 128GB Storage US Warranty, Green (Renewed)",$227.27 ,$744.98 ,USD,4,254,https://www.amazon.com/dp/B09GKXZCWY,https://m.media-amazon.com/images/I/71rK4lbCPLL._AC_SX444_SY639_FMwebp_QL65_.jpg,,$227.27 ,FALSE,FALSE,FALSE,TRUE,100+ bought in past month,"FREE delivery Wed, Mar 20 Only 1 left in stock - order soon."
B07YBDR5GK,Samsung Galaxy S10E G970U 128GB GSM Unlocked Phone w/ 12MP &amp; 16MP Rear Camera (USA Version) - Blue,,,,4.2,176,https://www.amazon.com/dp/B07YBDR5GK,https://m.media-amazon.com/images/I/41GZVOJ2MyL._AC_SX427_SY615_FMwebp_QL65_.jpg,,,FALSE,FALSE,FALSE,FALSE,,
